source_rank,tld,source_status,server_adapter,whois_host,server_url,current_parser_class,parser_family,initial_coverage_state,resource_group,implementation_package
472,deals,delegated,Standard,whois.nic.deals,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.deals,package-2
473,london,delegated,Standard,whois.nic.london,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.london,package-2
474,report,delegated,Standard,whois.nic.report,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.report,package-1
475,pictures,delegated,Standard,whois.nic.pictures,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.pictures,package-1
476,forum,delegated,Standard,whois.nic.forum,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.forum,package-1
477,kim,delegated,Standard,whois.afilias.net,"",Whois::Parsers::WhoisAfiliasNet,BaseAfilias2,parser_present_unverified,family:BaseAfilias2,package-2
478,comhttp,undelegated,Unmapped,"","",Whois::Parsers::Blank,Blank,excluded_undelegated,row:478,package-5
479,men,delegated,Standard,whois.nic.men,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.men,package-5
480,webcam,delegated,Standard,whois.nic.webcam,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.webcam,package-2
481,style,delegated,Standard,whois.nic.style,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.style,package-3
482,town,delegated,Standard,whois.nic.town,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.town,package-2
483,eco,delegated,Standard,whois.nic.eco,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.eco,package-1
484,bank,delegated,Standard,whois.nic.bank,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.bank,package-2
485,ing,delegated,Standard,whois.nic.google,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.google,package-3
486,day,delegated,Standard,whois.nic.google,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.google,package-3
487,desi,delegated,Standard,whois.nic.desi,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.desi,package-2
488,directory,delegated,Standard,whois.nic.directory,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.directory,package-4
489,study,delegated,Standard,whois.nic.study,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.study,package-2
490,wine,delegated,Standard,whois.nic.wine,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.wine,package-1
491,parts,delegated,Standard,whois.nic.parts,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.parts,package-5
492,solar,delegated,Standard,whois.nic.solar,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.solar,package-1
493,gay,delegated,Unmapped,"","",Whois::Parsers::Blank,Blank,no_server_mapping,row:493,package-1
494,gal,delegated,Standard,whois.nic.gal,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.gal,package-5
495,ist,delegated,Standard,whois.afilias-srs.net,"",Whois::Parsers::WhoisAfiliasSrsNet,BaseIcannCompliant,parser_present_unverified,family:BaseIcannCompliant,package-1
496,industries,delegated,Standard,whois.nic.industries,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.industries,package-1
497,menu,delegated,Standard,whois.nic.menu,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.menu,package-1
498,clinic,delegated,Standard,whois.nic.clinic,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.clinic,package-5
499,management,delegated,Standard,whois.nic.management,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.management,package-4
